,website_type,tracking_type,tracking_number,Y,Y_predicted
1649,WANHAI,BOOKING_NUMBER,011DA05773,52,52
806,MSC,CONTAINER_NUMBER,MSDU8320269,35,35
931,NAMSUNG,CONTAINER_NUMBER,TLLU3199870,38,35
839,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200105,36,36
1151,ONE,BOOKING_NUMBER,SIND25419600,40,40
261,HAMBURGSUD,CONTAINER_NUMBER,CAAU6552618,17,35
1168,ONE,BOOKING_NUMBER,SIND26429800,40,40
240,EVERGREEN,BOOKING_NUMBER,020300279570,13,13
736,MSC,CONTAINER_NUMBER,MSDU7320618,35,35
1160,ONE,BOOKING_NUMBER,SIND16596500,40,40
1733,WANHAI,CONTAINER_NUMBER,WHSU2860836,53,35
1029,ONE,BILL_OF_LOADING_NUMBER,GOAD29205400,39,40
482,MSC,BOOKING_NUMBER,206ITY0057496,34,34
998,ONE,BILL_OF_LOADING_NUMBER,GOAD27927600,39,40
530,MSC,BOOKING_NUMBER,206ITY0054244,34,34
1352,ONE,CONTAINER_NUMBER,TCNU4683997,41,35
1789,YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710613282,57,57
71,DONGJIN,BOOKING_NUMBER,DJSCSHA230005699,10,18
1786,YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710613169,57,57
259,HAMBURGSUD,CONTAINER_NUMBER,CAAU6678231,17,35
51,COSCO,BOOKING_NUMBER,5158619900,7,43
453,MSC,BILL_OF_LOADING_NUMBER,MEDUUH000843,33,33
1658,WANHAI,BOOKING_NUMBER,008DX55255,52,52
585,MSC,CONTAINER_NUMBER,MSDU7146954,35,35
332,HMM,BOOKING_NUMBER,DALA05286800,22,40
1287,ONE,CONTAINER_NUMBER,FSCU8617338,41,35
535,MSC,BOOKING_NUMBER,206ITY0055473,34,34
366,KMTC,BOOKING_NUMBER,JP01030049,28,28
1727,WANHAI,CONTAINER_NUMBER,TEMU2051189,53,35
1859,YANGMING,BOOKING_NUMBER,N272036517,58,58
974,NAMSUNG,CONTAINER_NUMBER,SEGU3954383,38,35
910,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200034,36,36
519,MSC,BOOKING_NUMBER,206ITY0058931,34,34
494,MSC,BOOKING_NUMBER,EBKG05236786,34,40
532,MSC,BOOKING_NUMBER,206ITY0054786               ,34,34
903,NAMSUNG,BILL_OF_LOADING_NUMBER,NSSLLCSDC2200160,36,36
1873,YANGMING,BOOKING_NUMBER,YMFCPH0026824,58,58
485,MSC,BOOKING_NUMBER,206ITY0057963,34,34
1041,ONE,BOOKING_NUMBER,BKKDN2081300,40,40
192,EVERGREEN,BOOKING_NUMBER,020300151727,13,13
552,MSC,CONTAINER_NUMBER,TGBU5611266,35,35
1418,OOCL,BOOKING_NUMBER,2706299550,43,43
1822,YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710613727,57,57
727,MSC,CONTAINER_NUMBER,SLSU6045451,35,35
968,NAMSUNG,CONTAINER_NUMBER,TLLU3032667,38,35
415,MAERSK,BILL_OF_LOADING_NUMBER,MRKU8205274,30,35
141,EVERGREEN,BOOKING_NUMBER,020300350657,13,13
1000,ONE,BILL_OF_LOADING_NUMBER,YGNC13034800,39,40
678,MSC,CONTAINER_NUMBER,TRHU5131810,35,35
1785,YANGMING,BILL_OF_LOADING_NUMBER,YMLUN710613219,57,57
