website_type,tracking_type,tracking_number,created_at,loading_port,departure_time
EVERGREEN,BOOKING_NUMBER,020300337065,2023/08/24,MOJI (JP),2023/09/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300306399,2023/10/24,MOJI (JP),2023/08/31 00:00:00
EVERGREEN,BOOKING_NUMBER,024300056000,2023/08/23,NAGOYA (JP),2023/09/19 00:00:00
EVERGREEN,BOOKING_NUMBER,504100020288,2022/02/24,AARHUS (DK),2022/01/07 00:00:00
EVERGREEN,BOOKING_NUMBER,020300401987,2023/10/27,YOKOHAMA (JP),2023/10/31 00:00:00
EVERGREEN,BOOKING_NUMBER,504100021101,2022/01/27,AARHUS (DK),2022/01/21 00:00:00
EVERGREEN,BOOKING_NUMBER,520200019683,2022/03/10,ROTTERDAM (NL),2022/02/16 00:00:00
EVERGREEN,BOOKING_NUMBER,020300239382,2023/06/09,KOBE (JP),2023/06/29 00:00:00
EVERGREEN,BOOKING_NUMBER,020300368998,2023/10/27,YOKOHAMA (JP),2023/10/13 00:00:00
EVERGREEN,BOOKING_NUMBER,024300079808,2023/11/01,KOBE (JP),2023/11/07 00:00:00
EVERGREEN,BOOKING_NUMBER,020300448916,2023/10/30,KOBE (JP),2023/11/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300448924,2023/10/30,KOBE (JP),2023/11/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300448932,2023/10/30,KOBE (JP),2023/12/01 00:00:00
EVERGREEN,BOOKING_NUMBER,020300381803,2023/09/15,KOBE (JP),2023/10/06 00:00:00
EVERGREEN,BOOKING_NUMBER,504100019603,2023/06/09,AARHUS (DK),2022/01/02 00:00:00
EVERGREEN,BOOKING_NUMBER,024300073282,2023/10/20,NAGOYA (JP),2023/10/19 00:00:00
EVERGREEN,BOOKING_NUMBER,020300146732,2023/04/24,MOJI (JP),2023/04/25 00:00:00
EVERGREEN,BOOKING_NUMBER,020300140172,2023/05/25,MOJI (JP),2023/05/01 00:00:00
EVERGREEN,BOOKING_NUMBER,050300606017,2023/08/18,LAEM CHABANG (TH),2023/08/16 00:00:00
EVERGREEN,BOOKING_NUMBER,020300375170,2023/09/15,HAKATA (JP),2023/10/29 00:00:00
EVERGREEN,BOOKING_NUMBER,020300148751,2023/04/20,NAGOYA (JP),2023/04/23 00:00:00
EVERGREEN,BOOKING_NUMBER,020300102522,2023/04/20,MOJI (JP),2023/04/25 00:00:00
EVERGREEN,BOOKING_NUMBER,020300310434,2023/08/16,MOJI (JP),2023/08/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300308902,2023/08/16,MOJI (JP),2023/08/13 00:00:00
EVERGREEN,BOOKING_NUMBER,020300334848,2023/09/20,KOBE (JP),2023/10/02 00:00:00
EVERGREEN,BOOKING_NUMBER,020300287042,2023/08/16,MOJI (JP),2023/08/02 00:00:00
EVERGREEN,BOOKING_NUMBER,020300271871,2023/08/16,MOJI (JP),2023/07/27 00:00:00
EVERGREEN,BOOKING_NUMBER,020300168743,2023/04/26,HAKATA (JP),2023/05/29 00:00:00
EVERGREEN,BOOKING_NUMBER,020300092292,2023/04/26,KOBE (JP),2023/03/17 00:00:00
EVERGREEN,BOOKING_NUMBER,020300263100,2023/08/16,MOJI (JP),2023/07/11 00:00:00
EVERGREEN,BOOKING_NUMBER,020300259862,2023/08/16,MOJI (JP),2023/07/03 00:00:00
EVERGREEN,BOOKING_NUMBER,020300152774,2023/05/25,NAGOYA (JP),2023/05/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300224652,2023/06/02,KOBE (JP),2023/06/16 00:00:00
EVERGREEN,BOOKING_NUMBER,020300224643,2023/06/02,KOBE (JP),2023/06/16 00:00:00
EVERGREEN,BOOKING_NUMBER,020300151727,2023/05/25,MOJI (JP),2023/05/13 00:00:00
EVERGREEN,BOOKING_NUMBER,020300284069,2023/08/16,MOJI (JP),2023/08/13 00:00:00
EVERGREEN,BOOKING_NUMBER,020300228461,2023/06/13,TOKYO (JP),2023/06/14 00:00:00
EVERGREEN,BOOKING_NUMBER,020300324664,2023/08/15,MOJI (JP),2023/08/27 00:00:00
EVERGREEN,BOOKING_NUMBER,050100587671,2022/01/24,LAEM CHABANG (TH),2021/06/01 00:00:00
EVERGREEN,BOOKING_NUMBER,020300149676,2023/05/24,MOJI (JP),2023/04/30 00:00:00
EVERGREEN,BOOKING_NUMBER,020300146821,2023/05/24,KOBE (JP),2023/04/30 00:00:00
EVERGREEN,BOOKING_NUMBER,020300146146,2023/05/24,NAGOYA (JP),2023/05/07 00:00:00
EVERGREEN,BOOKING_NUMBER,020300143261,2023/05/24,NAGOYA (JP),2023/05/22 00:00:00
EVERGREEN,BOOKING_NUMBER,020300239382,2023/06/13,KOBE (JP),2023/06/29 00:00:00
EVERGREEN,BOOKING_NUMBER,560300495575,2023/04/19,ROTTERDAM (NL),2023/04/16 00:00:00
EVERGREEN,BOOKING_NUMBER,020300326659,2023/08/15,NAGOYA (JP),2023/08/18 00:00:00
EVERGREEN,BOOKING_NUMBER,020300173879,2023/05/23,KOBE (JP),2023/05/27 00:00:00
EVERGREEN,BOOKING_NUMBER,560300517382,2023/04/19,ROTTERDAM (NL),2023/04/16 00:00:00
EVERGREEN,BOOKING_NUMBER,020300168743,2023/06/15,HAKATA (JP),2023/05/30 00:00:00
EVERGREEN,BOOKING_NUMBER,520200239012,2023/06/15,ROTTERDAM (NL),2022/12/14 00:00:00
EVERGREEN,BOOKING_NUMBER,020300170772,2023/05/22,OSAKA (JP),2023/05/13 00:00:00
EVERGREEN,BOOKING_NUMBER,020300305805,2023/08/14,MOJI (JP),2023/08/26 00:00:00
EVERGREEN,BOOKING_NUMBER,020300428915,2023/10/30,KOBE (JP),2023/11/12 00:00:00
EVERGREEN,BOOKING_NUMBER,020300173879,2023/05/19,KOBE (JP),2023/05/27 00:00:00
EVERGREEN,BOOKING_NUMBER,100350135191,2023/08/10,NHAVA SHEVA (IN),2023/08/17 00:00:00
EVERGREEN,BOOKING_NUMBER,020300186385,2023/05/19,MOJI (JP),2023/06/06 00:00:00
EVERGREEN,BOOKING_NUMBER,020300173879 ,2023/05/19,KOBE (JP),2023/05/27 00:00:00
EVERGREEN,BOOKING_NUMBER,020300105156,2023/05/19,MOJI (JP),2023/04/17 00:00:00
EVERGREEN,BOOKING_NUMBER,020300168743,2023/05/19,HAKATA (JP),2023/05/30 00:00:00
EVERGREEN,BOOKING_NUMBER,020300308422,2023/08/07,MOJI (JP),2023/08/24 00:00:00
EVERGREEN,BOOKING_NUMBER,020300293394,2023/08/07,OSAKA (JP),2023/07/29 00:00:00
EVERGREEN,BOOKING_NUMBER,504100020261,2022/02/07,AARHUS (DK),2022/01/07 00:00:00
EVERGREEN,BOOKING_NUMBER,050300739921,2023/09/21,LAEM CHABANG (TH),2023/09/20 00:00:00
EVERGREEN,BOOKING_NUMBER,020300224635,2023/06/02,KOBE (JP),2023/06/16 00:00:00
EVERGREEN,BOOKING_NUMBER,020300173879,2023/05/19,KOBE (JP),2023/05/27 00:00:00
EVERGREEN,BOOKING_NUMBER,020300091813,2023/05/08,YOKOHAMA (JP),2023/03/19 00:00:00
EVERGREEN,BOOKING_NUMBER,504100021110,2022/02/17,AARHUS (DK),2022/01/21 00:00:00
EVERGREEN,BOOKING_NUMBER,520100271282,2022/02/17,ROTTERDAM (NL),2022/02/08 00:00:00
